DZ2011,IZ2011,CA2011,CA2011QF,HSCP2016,HSCP2016QF,HB2014,HB2014QF,SIMD2016Rank,SIMD2016CountryDecile,SIMD2016CountryQuintile,SIMD2016HB2014Decile,SIMD2016HB2014Quintile,SIMD2016HSCP2016Decile,SIMD2016HSCP2016Quintile,SIMD2016CA2011Decile,SIMD2016CA2011Quintile,SIMD2016Most15pc,SIMD2016Least15pc
S01006506,S02001236,S12000033, ,S37000001, ,S08000020, ,5272,8,4,6,3,6,3,6,3,0,0
S01006507,S02001236,S12000033, ,S37000001, ,S08000020, ,4838,7,4,5,3,6,3,6,3,0,0
S01006508,S02001236,S12000033, ,S37000001, ,S08000020, ,6321,10,5,9,5,8,4,8,4,0,1
S01006509,S02001236,S12000033, ,S37000001, ,S08000020, ,5363,8,4,7,4,6,3,6,3,0,0
S01006510,S02001236,S12000033, ,S37000001, ,S08000020, ,4049,6,3,4,2,5,3,5,3,0,0
S01006511,S02001236,S12000033, ,S37000001, ,S08000020, ,6668,10,5,10,5,9,5,9,5,0,1
S01006512,S02001236,S12000033, ,S37000001, ,S08000020, ,5865,9,5,8,4,7,4,7,4,0,0
S01006513,S02001237,S12000033, ,S37000001, ,S08000020, ,5845,9,5,8,4,7,4,7,4,0,0
S01006514,S02001237,S12000033, ,S37000001, ,S08000020, ,6808,10,5,10,5,9,5,9,5,0,1
S01006515,S02001237,S12000033, ,S37000001, ,S08000020, ,6322,10,5,9,5,8,4,8,4,0,1
S01006516,S02001237,S12000033, ,S37000001, ,S08000020, ,6259,9,5,9,5,8,4,8,4,0,1
S01006517,S02001237,S12000033, ,S37000001, ,S08000020, ,5843,9,5,8,4,7,4,7,4,0,0
S01006518,S02001238,S12000033, ,S37000001, ,S08000020, ,6607,10,5,9,5,9,5,9,5,0,1
S01006519,S02001238,S12000033, ,S37000001, ,S08000020, ,6404,10,5,9,5,8,4,8,4,0,1
S01006520,S02001238,S12000033, ,S37000001, ,S08000020, ,6456,10,5,9,5,8,4,8,4,0,1
S01006521,S02001238,S12000033, ,S37000001, ,S08000020, ,6517,10,5,9,5,8,4,8,4,0,1
S01006522,S02001238,S12000033, ,S37000001, ,S08000020, ,6785,10,5,10,5,9,5,9,5,0,1
S01006523,S02001238,S12000033, ,S37000001, ,S08000020, ,6496,10,5,9,5,8,4,8,4,0,1
S01006524,S02001238,S12000033, ,S37000001, ,S08000020, ,3982,6,3,4,2,5,3,5,3,0,0
S01006525,S02001238,S12000033, ,S37000001, ,S08000020, ,6333,10,5,9,5,8,4,8,4,0,1
S01006526,S02001239,S12000033, ,S37000001, ,S08000020, ,2599,4,2,2,1,3,2,3,2,0,0
S01006527,S02001239,S12000033, ,S37000001, ,S08000020, ,1957,3,2,1,1,2,1,2,1,0,0
S01006528,S02001239,S12000033, ,S37000001, ,S08000020, ,3912,6,3,4,2,5,3,5,3,0,0
S01006529,S02001239,S12000033, ,S37000001, ,S08000020, ,4128,6,3,4,2,5,3,5,3,0,0
S01006530,S02001239,S12000033, ,S37000001, ,S08000020, ,2531,4,2,2,1,3,2,3,2,0,0
S01006531,S02001239,S12000033, ,S37000001, ,S08000020, ,2240,4,2,2,1,2,1,2,1,0,0
S01006532,S02001240,S12000033, ,S37000001, ,S08000020, ,6177,9,5,8,4,7,4,7,4,0,1
S01006533,S02001240,S12000033, ,S37000001, ,S08000020, ,6930,10,5,10,5,10,5,10,5,0,1
S01006534,S02001240,S12000033, ,S37000001, ,S08000020, ,6908,10,5,10,5,10,5,10,5,0,1
S01006535,S02001240,S12000033, ,S37000001, ,S08000020, ,6796,10,5,10,5,9,5,9,5,0,1
S01006536,S02001240,S12000033, ,S37000001, ,S08000020, ,6693,10,5,10,5,9,5,9,5,0,1
S01006537,S02001241,S12000033, ,S37000001, ,S08000020, ,6538,10,5,9,5,9,5,9,5,0,1
S01006538,S02001241,S12000033, ,S37000001, ,S08000020, ,6529,10,5,9,5,9,5,9,5,0,1
S01006539,S02001241,S12000033, ,S37000001, ,S08000020, ,6823,10,5,10,5,10,5,10,5,0,1
S01006540,S02001241,S12000033, ,S37000001, ,S08000020, ,6427,10,5,9,5,8,4,8,4,0,1
S01006541,S02001241,S12000033, ,S37000001, ,S08000020, ,6824,10,5,10,5,10,5,10,5,0,1
S01006542,S02001242,S12000033, ,S37000001, ,S08000020, ,6891,10,5,10,5,10,5,10,5,0,1
S01006543,S02001242,S12000033, ,S37000001, ,S08000020, ,6419,10,5,9,5,8,4,8,4,0,1
S01006544,S02001242,S12000033, ,S37000001, ,S08000020, ,6804,10,5,10,5,9,5,9,5,0,1
S01006545,S02001242,S12000033, ,S37000001, ,S08000020, ,6486,10,5,9,5,8,4,8,4,0,1
S01006546,S02001242,S12000033, ,S37000001, ,S08000020, ,6884,10,5,10,5,10,5,10,5,0,1
S01006547,S02001243,S12000033, ,S37000001, ,S08000020, ,3598,6,3,3,2,4,2,4,2,0,0
S01006548,S02001243,S12000033, ,S37000001, ,S08000020, ,6570,10,5,9,5,9,5,9,5,0,1
S01006549,S02001243,S12000033, ,S37000001, ,S08000020, ,6766,10,5,10,5,9,5,9,5,0,1
